keyword,search_volume,competition,competition_index,cpc,low_top_of_page_bid,high_top_of_page_bid
100 ceremonial cacao,20,HIGH,85,1.82,0.93,2.34
buy raw cacao beans,20,HIGH,100,0.53,0.22,0.77
buy raw cocoa beans,20,HIGH,100,0.53,0.22,0.77
cacao beans bulk,20,HIGH,100,0.74,0.39,0.77
cacao beans for sale near me,20,HIGH,98,0.39,,
cacao ceremony what is it,20,LOW,21,0.52,0.05,0.28
cacao drinking ceremony,20,HIGH,75,1.02,0.36,2.55
cacao pieces,20,HIGH,100,0.21,,
ceremonial cacao what is it,20,HIGH,86,,,
ceremonial hot chocolate,20,HIGH,91,2.8,0.97,3.96
cocoa powder bulk price,20,HIGH,100,0.54,0.23,2.87
criollo cacao nibs,20,HIGH,100,0.72,0.4,1.71
criollo ceremonial cacao,20,HIGH,100,4.09,1.05,3.29
eating cacao nibs,20,LOW,29,,,
organic cacao chips,20,HIGH,100,2.24,0.3,1.74
organic cacao powder wholesale,20,HIGH,84,5.22,1.89,10
organic chocolate nibs,20,HIGH,100,0.17,,
organic cocoa powder wholesale,20,HIGH,84,5.22,1.89,10
peruvian cacao ceremony,20,HIGH,100,6.87,0.53,1.28
raw cacao powder bulk,20,HIGH,100,2.12,0.2,1.66
trade cocoa,20,HIGH,80,0.02,,
traditional cacao ceremony,20,MEDIUM,35,0.82,,
best cacao for ceremony,10,HIGH,100,3.53,0.6,4.51
best raw cacao nibs,10,HIGH,100,0.59,0.27,0.86
bulk baking cocoa powder,10,HIGH,85,0.87,,
buy cacao nibs online,10,HIGH,100,0.35,,
buy cocoa beans wholesale,10,HIGH,71,3.35,,
buy wholesale cacao beans,10,,,,,
cacao blessings,10,LOW,14,,,
cacao ceremony chocolate,10,HIGH,100,3.45,1.36,3.13
cacao ceremony how to,10,MEDIUM,49,0.75,0.15,1.32
cacao ceremony online,10,HIGH,100,,,
cacao ceremony price,10,LOW,0,,,
cacao drops,10,HIGH,94,0.35,,
cacao for cacao ceremony,10,HIGH,100,1.28,0.32,2.17
cacao nibs 1kg,10,,,,,
cacao nibs brands,10,HIGH,71,,,
cacao nibs co to jest,10,MEDIUM,43,,,
cacao nibs fermented,10,HIGH,100,0.75,,
cacao nibs online,10,HIGH,100,,,
cacao nibs price,10,HIGH,100,,,
cacao nibs shelf life,10,LOW,8,,,
cacao nibs to cacao powder,10,LOW,21,,,
cacao nibs with coconut sugar,10,HIGH,100,,,
cacao paste ceremonial,10,HIGH,75,0.18,,
cacao powder ceremony,10,HIGH,100,0.34,,
cacao sacred,10,HIGH,100,,0.83,1.54
cacao tea ceremony,10,MEDIUM,64,,,
ceremonial cacao 1kg,10,,,,,
ceremonial cacao before bed,10,MEDIUM,48,6.16,,
ceremonial cacao wholesale,10,HIGH,98,7.45,1.61,7.69
ceremonial drinking cacao,10,HIGH,100,9.9,1.08,3.66
ceremonial drinking chocolate,10,HIGH,75,2.41,,
ceremonial raw cacao,10,MEDIUM,57,2.7,,
ceremony cacao buy,10,HIGH,100,3.43,,
cocoa powder wholesale price,10,HIGH,100,5.47,,
cocoa wholesale price,10,LOW,24,2.49,,
crushed cacao nibs,10,HIGH,89,0.34,,
direct trade cacao,10,HIGH,79,,,
eating raw cacao nibs,10,LOW,0,,,
fair trade cacao nibs,10,HIGH,100,1.54,1.13,4.3
fair trade dutch process cocoa,10,HIGH,100,,,
making ceremonial cacao,10,HIGH,83,0.31,0.22,0.54
mama cacao ceremony,10,MEDIUM,34,,,
natural cacao nibs,10,HIGH,100,1,,
organic roasted cacao nibs,10,HIGH,100,2.36,,
organic sweet cacao nibs,10,HIGH,100,0.65,,
peruvian cacao nibs,10,MEDIUM,58,0.46,,
preparing cacao,10,LOW,16,0.17,0.05,0.6
preparing cacao for ceremony,10,MEDIUM,57,0.33,0.22,0.88
preparing ceremonial cacao,10,HIGH,94,1.28,0.16,0.94
raw cacao beans bulk,10,HIGH,100,2.96,,
raw cacao bulk,10,HIGH,100,2.07,1.7,4.54
raw cacao chips,10,HIGH,100,0.69,,
raw cacao nibs bulk,10,HIGH,100,2.96,,
raw cacao nuts,10,HIGH,100,0.36,,
raw cacao wholesale,10,HIGH,100,0.57,,
raw whole cacao beans,10,HIGH,88,0.19,,
regenerative cacao,10,HIGH,100,1.04,0.48,3.59
sacred ceremonial cacao,10,HIGH,100,,,
safest cacao nibs,10,HIGH,100,,,
spiritual cacao,10,HIGH,100,4.25,0.67,3.39
spiritual cacao ceremony,10,HIGH,86,5.01,,
sprouted cacao nib instant oatmeal,10,HIGH,100,0.25,,
sweet nibs,10,LOW,31,,,
the cacao nibs,10,LOW,0,,,
unrefined cocoa nibs,10,HIGH,82,0.52,,
wholesale ceremonial cacao,10,HIGH,100,1.34,0.72,4.66
wholesale price of cocoa beans,10,,,,,
amazon rainforest cacao,,,,,,
ceremonial grade cacao,,,,,,
made by grinding roasted cacao beans,0,,,,,
organic cacao beans non gmo,0,,,,,
